1500m,8:30,800m
1500m,8:16,800m
1500m,8:02,800m
1500m,7:49,800m
1500m,7:37,800m
1500m,7:25,800m
1500m,7:14,800m
1500m,7:04,800m
1500m,6:54,800m
1500m,6:44,800m
1500m,6:35,800m
1500m,6:27,800m
1500m,6:19,800m
1500m,6:11,800m
1500m,6:03,800m
1500m,5:56,800m
1500m,5:49,800m
1500m,5:42,800m
1500m,5:36,800m
1500m,5:30,800m
1500m,5:24,800m
1500m,5:18,800m
1500m,5:13,800m
1500m,5:07,800m
1500m,5:02,800m
1500m,4:57,800m
1500m,4:53,800m
1500m,4:48,800m
1500m,4:44,800m
1500m,4:39,800m
1500m,4:35,800m
1500m,4:31,800m
1500m,4:27,800m
1500m,4:24,800m
1500m,4:20,800m
1500m,4:16,800m
1500m,4:13,800m
1500m,4:10,800m
1500m,4:06,800m
1500m,4:03,800m
1500m,4:00,800m
1500m,3:57,800m
1500m,3:54,800m
1500m,3:52,800m
1500m,3:49,800m
1500m,3:46,800m
1500m,3:44,800m
1500m,3:41,800m
1500m,3:38.8,800m
1500m,3:36.5,800m
1500m,3:34.2,800m
1500m,3:31.9,800m
1500m,3:29.7,800m
1500m,3:27.6,800m
1500m,3:25.5,800m
1500m,3:23.5,800m
